Name,Context
-22tna7KHzI_28.000.wav,6
-23CeprtibU_30.000.wav,1
-2sE5CH8Wb8_30.000.wav,8
-3z5mFRgbxc_30.000.wav,3
-47nPCeukVc_1.000.wav,3
-6cTEqIcics_30.000.wav,2
-7eDqv-6AKQ_30.000.wav,3
-8pCMgGKZY8_12.000.wav,7
-95a1RB0jHs_30.000.wav,6
-9GUUhB3QV0_30.000.wav,2
-9byM5-ih2M_0.000.wav,7
-9mHz0OsKKw_0.000.wav,3
#NAME?,1
#NAME?,3
#NAME?,3
#NAME?,3
#NAME?,1
#NAME?,6
#NAME?,5
#NAME?,3
#NAME?,3
#NAME?,5
#NAME?,5
#NAME?,3
#NAME?,3
#NAME?,2
#NAME?,1
#NAME?,3
#NAME?,8
#NAME?,3
#NAME?,3
#NAME?,3
#NAME?,3
#NAME?,1
#NAME?,8
#NAME?,3
#NAME?,8
#NAME?,5
#NAME?,1
#NAME?,3
#NAME?,8
#NAME?,3
#NAME?,5
#NAME?,6
#NAME?,8
#NAME?,8
#NAME?,3
#NAME?,3
#NAME?,8
00iiNF4tn4o_24.000.wav,3
01CiQ6VDxbo_30.000.wav,5
01he_d18c8o_50.000.wav,3
02Ak1eIyj3M_30.000.wav,2
02XbmweOzOY_70.000.wav,1
03Q2SbeP_cw_30.000.wav,2
03Uz8L0u07Q_480.000.wav,7
03aJ_RcnBko_550.000.wav,1
06rCpqwkcDw_10.000.wav,7
06si40RVDco_30.000.wav,3
077aWlQn6XI_30.000.wav,8
07AQUF6A_mg_290.000.wav,1
09RRavdW3C0_30.000.wav,3
0CJFt950vOk_30.000.wav,2
0CzC0-cXe8M_30.000.wav,1
0DzsPL-xElE_20.000.wav,1
0F04c_rY4aw_0.000.wav,7
0G50t4FlbIA_60.000.wav,5
0GFtqzOWnWg_110.000.wav,1
0GNNFBrRz1E_40.000.wav,1
0Ga7T-2e490_17.000.wav,3
0H_WUo2srs0_30.000.wav,2
0IwGsEzITQs_20.000.wav,3
0K1mroXg8bs_9.000.wav,2
0MzrXd8CUCg_30.000.wav,2
0N0C0Wbe6AI_30.000.wav,2
0N9EN0BEjP0_430.000.wav,3
0O-gZoirpRA_30.000.wav,8
0OFlTh2_Obo_30.000.wav,7
0QTme5iyg4A_160.000.wav,6
0QqQ1j1vBgw_30.000.wav,3
0RyzdrZgrus_6.000.wav,6
0Wkk9iNzA9c_30.000.wav,7
0_gci63CtFY_30.000.wav,8
0dXtmlR1Lm0_30.000.wav,7
0fiuMvWi3yM_20.000.wav,3
0foC-4n-eH0_0.000.wav,7
0fsntL6RKww_30.000.wav,1
0g-KosNgMYA_70.000.wav,3
0hOD_iIeePk_30.000.wav,3
0hjqlmdPT6g_50.000.wav,3
0kqQNBR09Rc_90.000.wav,3
0loP4WNnL2k_0.000.wav,3
0mD4OcdidBM_0.000.wav,2
0mNvPaqfwUI_220.000.wav,3
0mXoMK4PvIw_70.000.wav,7
0nqQSwdl4a0_16.000.wav,7
0rNQE7fccQg_30.000.wav,3
0s6gEV9d52I_180.000.wav,2
0sYXPO7lzco_270.000.wav,3
0sstijfm2nM_80.000.wav,5
0x82_HySIVU_30.000.wav,3
0xDlT_u31fg_30.000.wav,2
0zgffMTkGtU_20.000.wav,5
10aF24rMeu0_30.000.wav,8
10hGfv89L3g_30.000.wav,3
10lWpHyN0Ok_30.000.wav,1
12C-RCb6UFw_430.000.wav,3
145N68nh4m0_130.000.wav,2
153xbn1k2H8_10.000.wav,7
17AtKbQ7glU_590.000.wav,2
19knOj43yZE_330.000.wav,1
1D4LxbOVn1I_30.000.wav,7
1ED_uNM-KfE_30.000.wav,3
1EH6atYydBc_90.000.wav,1
1EuGaYmvlXM_170.000.wav,7
1F23RciUwDE_30.000.wav,3
1F3_bvIT0ig_0.000.wav,3
1F9zCsJyw6k_230.000.wav,2
1FU5odlgLmo_30.000.wav,7
1FbxStVuFYU_30.000.wav,6
1G6wtnmdZhE_30.000.wav,3
1HOdnni3Fl4_10.000.wav,1
1HayoASR-54_80.000.wav,3
1IQdvfm9SDY_30.000.wav,3
1KLmIS-v60U_10.000.wav,3
1LA8BxMlXSY_80.000.wav,2
1LTxZ2aNytc_30.000.wav,5
1MP3sQTk8wo_0.000.wav,7
1MgcrYdYas0_30.000.wav,1
1P5FFxXLSpY_30.000.wav,8
1Tg9VvRZN5k_30.000.wav,3
1TvXGdIfYxk_5.000.wav,2
1UFU5SfQOX4_200.000.wav,1
1UNk699Uqto_30.000.wav,7
1V-rFaIWnzU_180.000.wav,5
1WGfcIOLUK8_30.000.wav,7
1WGmeX6CLas_0.000.wav,5
1ZS9EQzbAbM_60.000.wav,1
1_Q80fDGLRM_10.000.wav,7
1_hGvbEiYAs_30.000.wav,3
1a0v-9eNHS0_9.000.wav,6
1bKf5nrT4DQ_90.000.wav,8
1btWmt9io-Y_310.000.wav,3
1dyFP4MGkIM_30.000.wav,3
1e0_4dwF9A4_30.000.wav,7
1f-L1M-S6RQ_30.000.wav,3
1fDGejVDAHU_0.000.wav,1
1hIg-Lsvc7Q_30.000.wav,3
1hJnxzlxnQs_30.000.wav,3
1hMZbDz2KH8_30.000.wav,2
1hknEtsmdOc_30.000.wav,3
1hwkxJOl1PY_20.000.wav,7
1jhbNtCWC9w_50.000.wav,2
1jr2Bc6Smb4_30.000.wav,1
1lIMpk5-2Oc_30.000.wav,6
1n_s2Gb5R1Q_30.000.wav,8
1nd-4Deqkro_230.000.wav,1
1oJAVJPX0YY_20.000.wav,3
1rtXsGC-q3Q_30.000.wav,3
1u_8Qg1npAM_30.000.wav,2
1wdCX1HmRyk_140.000.wav,1
1woaZGPrY9g_2.000.wav,3
1xRv-LwycNA_170.000.wav,6
1yGWdegJjA4_30.000.wav,6
1z16oAB1nMk_140.000.wav,2
2-Yz378XB2Q_30.000.wav,3
2-h8MRSRvEg_30.000.wav,2
209gneKMspw_170.000.wav,6
20RHFC0yaeg_30.000.wav,3
20jOA_gEjvk_240.000.wav,5
20qZLse0acs_30.000.wav,7
26CM8IXODG4_2.000.wav,3
27m49pmJ8Og_370.000.wav,3
27yuklUCZa8_4.000.wav,7
28Ih0rDx-Y4_310.000.wav,3
28ehZa0fzmo_28.000.wav,2
2E_N8lnoVKE_30.000.wav,3
2Fdau5KTEls_30.000.wav,3
2GOPuGmcHH0_20.000.wav,1
2HZcxlRs-hg_30.000.wav,8
2Jpg_KvJWL0_30.000.wav,8
2L3tuvv5RRw_10.000.wav,7
2Mkwgf0Pej0_0.000.wav,1
2OK-5YpNAEI_11.000.wav,2
2OQk3XjLPvU_180.000.wav,8
2Oe5kao1ycY_310.000.wav,3
2Oyl4A561po_30.000.wav,1
2P1bR6hShJ4_30.000.wav,6
2QKJuc_Hscc_50.000.wav,7
2S8yOM_-P9k_0.000.wav,7
2Se5wE9k_R8_300.000.wav,1
2TMviaRK0MM_580.000.wav,7
2TV2DW0bzBg_0.000.wav,4
2W27eT4HqtE_10.000.wav,5
2WDuMKh0Igg_4.000.wav,2
2WTk_j_fivY_30.000.wav,8
2XFrBXTnNY8_80.000.wav,7
2XZM3R28bDo_480.000.wav,1
2ZZEtUCIkUw_30.000.wav,7
2_kLD3IbF2c_10.000.wav,2
2eWobSpugTw_17.000.wav,4
2f7Ad-XpbnY_30.000.wav,3
2fKgYlCx_As_26.000.wav,4
2fi0m8ei_B4_30.000.wav,3
2gorz6QJPVg_30.000.wav,2
2k5j31W0Q7M_320.000.wav,3
2kk95G0hzPc_490.000.wav,5
2nQzeKH07LQ_40.000.wav,7
2ofK2gAQue4_180.000.wav,2
2pHfgh_G1yo_10.000.wav,2
2pYtX-Stpys_30.000.wav,1
2peFmuYqSDo_60.000.wav,7
2pt7WZBYeeI_30.000.wav,3
2rW2I6KmWhw_30.000.wav,7
2tBRn4xKmzM_30.000.wav,7
2uHcWdkV4W4_120.000.wav,3
2uMXfAIMeN0_180.000.wav,3
2uU_EoIj3tw_50.000.wav,6
2uZt59va3Ss_50.000.wav,3
2v_KyNpsyKs_30.000.wav,2
2vcA_vgImHQ_20.000.wav,1
2vvtR9Xwzp0_40.000.wav,3
2z5yJ2qa_5I_24.000.wav,3
2zdYIRTUQYE_30.000.wav,1
2zwNVAyInxs_15.000.wav,2
3-a8i_MEUl8_30.000.wav,3
30UGn3EFhbo_90.000.wav,2
31c2kosdtuo_20.000.wav,2
32Wp1Qo1MaY_13.000.wav,5
33fqw0k_qkM_220.000.wav,3
35HFjLYQiwY_30.000.wav,1
363A1t5Kr8c_80.000.wav,3
37QWwibfvXU_30.000.wav,7
37dcBgn9Ikk_330.000.wav,2
38F6eeIR-s0_30.000.wav,8
3Aa_0OnEwXM_80.000.wav,2
3AzacBprTzU_60.000.wav,7
3BM0gDnXzoo_120.000.wav,5
3CZ1i2_tKn0_15.000.wav,7
3CnwUQZ6q78_130.000.wav,1
3IX29m1L9UY_30.000.wav,5
3IdazIWh2Ew_22.000.wav,7
3IwOig7sw6c_30.000.wav,1
3KwulXmBX-8_30.000.wav,4
3LLKsRSkAbE_110.000.wav,3
3LiCT1BSrgQ_150.000.wav,8
3LiL97IcIBk_230.000.wav,3
3LulQoOXNB0_30.000.wav,3
3LvZUtupOCs_30.000.wav,7
3LxtO_vMokk_10.000.wav,3
3NEBbZ_hsAc_27.000.wav,5
3NRu3vNRFxU_0.000.wav,7
3PVT0BcK-2I_40.000.wav,2
3Q5ZehNFc9s_30.000.wav,2
3TyBFLPxDw8_0.000.wav,7
3UGFba20P5Q_330.000.wav,6
3V7-llXothY_0.000.wav,3
3WiLtOnNXbQ_420.000.wav,1
3YuO2UOYKRk_30.000.wav,6
3ZNrH765Djw_10.000.wav,5
3ZZDuYU2HM4_520.000.wav,3
3_54-fv4bQE_30.000.wav,3
3_OLj6XChvM_30.000.wav,3
3bGqkpfyk6k_160.000.wav,1
3e927DjM6Iw_90.000.wav,6
3hLxPQpmfQo_30.000.wav,3
